horizon,policy,granularity,period,n_train,n_test,mae,rmse,r2
1,monthly_rolling_12m,month,2016-12,366,31,0.7261716564193231,0.9546480520062245,0.04083874715309643
1,monthly_rolling_12m,month,2017-01,366,31,0.5815868617986532,0.7642235182174829,0.058383182983867354
1,monthly_rolling_12m,month,2017-02,366,28,0.5336087776202666,0.7041248552917203,0.2196017096003937
1,monthly_rolling_12m,month,2017-03,365,31,0.575980158023857,0.7700196861587125,0.24450951352900285
1,monthly_rolling_12m,month,2017-04,365,30,0.718887007510903,0.8920674785915989,0.33660064123314604
1,monthly_rolling_12m,month,2017-05,365,31,0.6797921620459495,0.9176223389204801,-0.11868769509130161
1,monthly_rolling_12m,month,2017-06,365,30,0.721839543236428,0.8739722775204135,0.2287686370413783
1,monthly_rolling_12m,month,2017-07,365,31,0.564054318399235,0.7952214760362721,0.4257635024971328
1,monthly_rolling_12m,month,2017-08,365,31,0.6546300960258982,0.7941107681637105,-0.07782528997461946
1,monthly_rolling_12m,month,2017-09,365,30,0.7807613199351804,0.9327840772480817,0.23584300588352392
1,monthly_rolling_12m,month,2017-10,365,31,0.6305822699328845,0.8382069826412105,0.17740022068190597
1,monthly_rolling_12m,month,2017-11,365,30,0.7817648512457663,1.1010584575743447,0.0349742143419699
1,monthly_rolling_12m,month,2017-12,365,31,1.0072723040226097,1.4636502300039798,0.059488433691711196
1,monthly_rolling_12m,month,2018-01,365,31,0.4373087048707294,0.6081576408223061,0.30408555593252606
1,monthly_rolling_12m,month,2018-02,365,28,0.7649968688008776,0.9600176648934784,0.5478200251225
1,monthly_rolling_12m,month,2018-03,365,31,0.4297736102544451,0.5317019697092273,-0.06675597688690882
1,monthly_rolling_12m,month,2018-04,365,30,0.42525336887642334,0.5641840167517228,0.4274657361054096
1,monthly_rolling_12m,month,2018-05,365,31,0.6568917529417718,0.8193289223386978,0.19765286858309927
1,monthly_rolling_12m,month,2018-06,365,30,0.6885971538016484,0.8874703415837987,0.24109968901569734
1,monthly_rolling_12m,month,2018-07,365,31,0.560479750995408,0.6571721509198325,0.22778978576496833
1,monthly_rolling_12m,month,2018-08,365,31,0.6854795239430218,0.8465323140836056,0.2253443223903009
1,monthly_rolling_12m,month,2018-09,365,30,0.6972240563405433,0.9344534863062772,-0.013715557901271769
1,monthly_rolling_12m,month,2018-10,365,31,0.6905593726980296,0.8688952870136781,0.19846346801454562
